apellido,municipio
RODRIGUEZ,JAYUYA
LUGO,PONCE
TORRES,GUAYANILLA
SAEZ,PONCE
SANTIAGO,LAJAS
FERNANDEZ,UTUADO
LOPEZ,ADJUNTAS
TORRES,ARECIBO
MUNOZ,GUAYANILLA
OLIVERA,GUAYANILLA
FERNANDEZ,UTUADO
FOSS,PONCE
MATIA,UTUADO
MEDINA,UTUADO
TORRES,PONCE
SOUFFRONT,PONCE
PADILLA,LAJAS
MARTINEZ,JUANA DIAZ
SERRANO,PONCE
BARNECET,SABANA GRANDE
SANTIAGO,PONCE
MARQUEZ,PONCE
TORRES,PONCE
VALENTIN,PONCE
TAPIA,GUAYANILLA
LUGO,PEÑUELAS
LUGO,PEÑUELAS
ROSA,PONCE
MOLINA,PONCE
RODRIGUEZ,PONCE
YAMBO,UTUADO
MELENDEZ,UTUADO
TORRES,PONCE
HERNANDEZ,GUANICA
PADRO,YAUCO
LUGO,GUANICA
VIDRO,SABANA GRANDE
SALCEDO,SABANA GRANDE
SANTOS,PONCE
AYALA,GUANICA
SANTIAGO,PEÑUELAS
PAZO,PONCE
GONZALEZ,PONCE
VERGANZO,PONCE
ALVARADO,PONCE
PACHECO,PONCE
MARQUEZ,PONCE
MARTINEZ,PONCE
ESMURRIA,PONCE
VELAZQUEZ,PONCE
ORTIZ,PONCE
RODRIGUEZ,PONCE
MELENDEZ,PONCE
MALDONADO,GUAYANILLA
RODRIGUEZ,LAJAS
VELEZ,LAJAS
FERNANDEZ,UTUADO
VELAZQUEZ,PEÑUELAS
BORRERO,PEÑUELAS
GONZALEZ,UTUADO
MEDINA,UTUADO
RIVAS,PONCE
SANTIAGO,LAJAS
RAMIREZ,PONCE
SANTIAGO,PONCE
ECHEVARRIA,PONCE
ZARAGOZA,SABANA GRANDE
MARQUEZ,CAGUAS
SANTOS,PONCE
ORTIZ,PONCE
FLORES,PONCE
MEDINA,GUAYANILLA
VELEZ,LAJAS
VELEZ,LAJAS
GONZALEZ,UTUADO
RODRIGUEZ,YAUCO
FALCON,GUAYNABO
FLORES,PONCE
VELAZQUEZ,PEÑUELAS
BORRERO,PEÑUELAS
MARTINEZ,UTUADO
VALENTIN,PONCE
SANTIAGO,GUANICA
SANTIAGO,UTUADO
ECHEVARRIA,PONCE
RAMOS,SABANA GRANDE
ROBLES,GUAYANILLA
RODRIGUEZ,GUAYANILLA
SINIGAGLIA,GUAYANILLA
SANTIAGO,SABANA GRANDE
COLON,UTUADO
MALDONADO,PONCE
SANTIAGO,PONCE
RODRIGUEZ,LAJAS
RIVERA,PONCE
DELGADO,UTUADO
GONZALEZ,UTUADO
HEREDIA,UTUADO
RODRIGUEZ,PONCE
SANTIAGO,PONCE
MERCADO,PONCE
PERES,PONCE
GONZALEZ,PONCE
COLON,PONCE
LUGO,MANATI
PEREZ,PONCE
PENCHI,PONCE
SANCHEZ,GUAYANILLA
MONTALVO,PEÑUELAS
GONZALEZ,PEÑUELAS
CAPETILLO,UTUADO
LAMBOY,ADJUNTAS
NAZARIO,GUANICA
GRATACOS,PONCE
ROLON,PONCE
RIVERA,UTUADO
ORAMA,PONCE
MORALES,GUAYANILLA
VELEZ,LAJAS
TORRES,PONCE
DIAZ,PONCE
VEGA,GUANICA
MERCADO,PONCE
MATTEI,PONCE
HERNANEZ,PONCE
